1; V.;Você;" Usado para um tratamento íntimo; familiar."
2;" Sr.; Sr.ª";"Senhor; Senhora"; Pessoas com as quais mantemos um certo distanciamento mais respeitoso
3; V. S.ª;Vossa Senhoria;" Pessoas com um grau de prestígio maior. Usualmente; os empregamos em textos escritos; como: correspondências; ofícios; requerimentos; etc."
4; V. Ex.ª;Vossa Excelência;" Usados para pessoas com alta autoridade; como: Presidente da República; Senadores; Deputados; Embaixadores; etc."
5; V. Em.ª;Vossa Eminência; Usados para Cardeais.
6; V. A.;Vossa Alteza; Príncipes e duques.
7; V.S.;Vossa Santidade; Para o Papa.
8; V. Rev.mª;Vossa Reverendíssima; Sacerdotes e Religiosos em geral.
9; V. P.;Vossa Paternidade; Superiores de Ordens Religiosas.
10; V. Mag.ª;Vossa Magnificência; Reitores de Universidades
11; V. M.;Vossa Majestade; Reis e Rainhas.
